"household_id","coupon_count","age","income","home_ownership","marital_status","household_size","household_comp","kids_count"
1800,49,"35-44","175-199K","Homeowner","Married","2","2 Adults No Kids","0"
1815,0,"45-54","25-34K",NA,NA,"2","2 Adults No Kids","0"
1841,56,"45-54","35-49K","Homeowner","Unmarried","2","2 Adults No Kids","0"
1844,0,"45-54","250K+","Homeowner","Married","2","2 Adults No Kids","0"
1896,56,"45-54","50-74K","Homeowner","Married","2","2 Adults No Kids","0"
1926,0,"25-34","35-49K","Homeowner",NA,"2","2 Adults No Kids","0"
1946,63,"25-34","75-99K",NA,"Unmarried","1","1 Adult No Kids","0"
1948,56,"35-44","50-74K","Homeowner","Unmarried","1","1 Adult No Kids","0"
1949,56,"45-54","Under 15K",NA,"Unmarried","1","1 Adult No Kids","0"
1962,38,"65+","25-34K",NA,NA,"2","2 Adults No Kids","0"
1964,56,"65+","Under 15K","Renter","Unmarried","1","1 Adult No Kids","0"
1980,56,"55-64","50-74K","Homeowner","Married","2","1 Adult Kids","1"
2002,47,"35-44","35-49K","Homeowner","Unmarried","1","1 Adult No Kids","0"
2013,56,"19-24","25-34K",NA,"Unmarried","1","1 Adult No Kids","0"
2023,0,"45-54","35-49K","Homeowner",NA,"3","2 Adults Kids","1"
2040,0,"25-34","25-34K","Homeowner","Unmarried","1","1 Adult No Kids","0"
2063,47,"55-64","75-99K","Homeowner","Married","2","2 Adults No Kids","0"
2094,56,"45-54","50-74K","Homeowner","Married","2","2 Adults No Kids","0"
2119,0,"25-34","50-74K","Homeowner","Unmarried","1","1 Adult No Kids","0"
2140,0,"65+","15-24K","Homeowner","Married","2","2 Adults No Kids","0"
2158,56,"25-34","50-74K","Probable Renter","Unmarried","1","1 Adult No Kids","0"
2172,0,"25-34","100-124K","Homeowner","Married","2","2 Adults No Kids","0"
2173,56,"25-34","35-49K",NA,NA,"2","2 Adults No Kids","0"
2179,49,"45-54","35-49K","Homeowner","Married","3","2 Adults Kids","1"
2181,49,"55-64","100-124K","Homeowner","Married","3","2 Adults Kids","1"
2250,56,"35-44","75-99K",NA,"Unmarried","1","1 Adult No Kids","0"
2252,0,"45-54","50-74K","Homeowner","Married","4","2 Adults Kids","2"
2272,0,"65+","25-34K","Homeowner","Married","2","2 Adults No Kids","0"
2279,68,"25-34","50-74K",NA,NA,"2","2 Adults No Kids","0"
2292,0,"45-54","35-49K","Renter","Married","5+","2 Adults Kids","3+"
2342,63,"55-64","100-124K","Homeowner","Unmarried","1","1 Adult No Kids","0"
2347,56,"45-54","35-49K",NA,NA,"2","2 Adults No Kids","0"
2390,63,"25-34","50-74K",NA,"Married","2","1 Adult Kids","1"
2397,0,"65+","125-149K",NA,"Unmarried","2","2 Adults No Kids","0"
2435,0,"45-54","50-74K","Homeowner","Unmarried","5+","1 Adult Kids","3+"
2449,0,"35-44","175-199K","Homeowner","Married","5+","2 Adults Kids","3+"
2465,0,"65+","15-24K","Homeowner","Married","2","1 Adult Kids","1"
2483,56,"45-54","75-99K","Homeowner","Unmarried","1","1 Adult No Kids","0"
2494,68,"35-44","50-74K","Homeowner",NA,"2","2 Adults No Kids","0"
