"household_id","coupon_count","age","income","home_ownership","marital_status","household_size","household_comp","kids_count"
595,215,"25-34","35-49K",NA,NA,"3","2 Adults Kids","1"
596,180,"45-54","15-24K","Homeowner","Married","3","1 Adult Kids","1"
597,142,"19-24","Under 15K",NA,"Unmarried","2","1 Adult Kids","1"
598,178,"35-44","25-34K",NA,"Unmarried","1","1 Adult No Kids","0"
601,235,"35-44","100-124K","Homeowner","Married","4","2 Adults Kids","2"
605,221,"25-34","75-99K","Homeowner","Married","4","2 Adults Kids","2"
606,130,"45-54","35-49K","Probable Renter","Unmarried","1","1 Adult No Kids","0"
607,153,"45-54","125-149K",NA,"Unmarried","1","1 Adult No Kids","0"
608,241,"25-34","25-34K","Renter","Unmarried","5+","1 Adult Kids","3+"
609,151,"45-54","50-74K",NA,"Unmarried","1","1 Adult No Kids","0"
614,187,"35-44","15-24K",NA,"Married","4","2 Adults Kids","2"
621,104,"45-54","35-49K",NA,"Unmarried","1","1 Adult No Kids","0"
622,217,"35-44","15-24K",NA,"Unmarried","1","1 Adult No Kids","0"
623,207,"45-54","35-49K","Homeowner","Married","3","2 Adults Kids","1"
624,200,"45-54","50-74K",NA,"Unmarried","1","1 Adult No Kids","0"
630,250,"35-44","35-49K","Homeowner","Married","3","2 Adults Kids","1"
631,200,"65+","100-124K","Homeowner","Married","3","2 Adults Kids","1"
644,195,"65+","75-99K","Homeowner","Married","2","2 Adults No Kids","0"
647,276,"35-44","50-74K","Renter","Married","4","2 Adults Kids","2"
660,236,"55-64","50-74K","Homeowner","Married","2","2 Adults No Kids","0"
661,193,"45-54","50-74K","Homeowner","Unmarried","1","1 Adult No Kids","0"
670,121,"55-64","35-49K",NA,"Married","3","2 Adults Kids","1"
671,153,"35-44","35-49K","Homeowner","Unmarried","1","1 Adult No Kids","0"
675,124,"35-44","50-74K",NA,NA,"2","2 Adults No Kids","0"
680,153,"45-54","50-74K","Homeowner","Unmarried","1","1 Adult No Kids","0"
682,103,"65+","125-149K","Homeowner","Married","2","2 Adults No Kids","0"
685,104,"35-44","Under 15K",NA,"Married","2","1 Adult Kids","1"
688,108,"35-44","125-149K","Homeowner","Married","3","2 Adults Kids","1"
690,167,"65+","15-24K","Homeowner","Unmarried","1","1 Adult No Kids","0"
692,160,"65+","35-49K","Homeowner","Unmarried","1","1 Adult No Kids","0"
693,242,"45-54","15-24K",NA,NA,"2","2 Adults No Kids","0"
695,236,"35-44","35-49K",NA,"Unmarried","3","1 Adult Kids","2"
696,104,"35-44","50-74K","Homeowner",NA,"2","2 Adults No Kids","0"
699,207,"45-54","50-74K","Homeowner","Married","2","2 Adults No Kids","0"
706,191,"45-54","50-74K","Homeowner","Unmarried","2","2 Adults No Kids","0"
707,222,"25-34","100-124K","Homeowner","Married","5+","2 Adults Kids","3+"
708,112,"35-44","100-124K","Homeowner","Married","4","2 Adults Kids","2"
712,307,"65+","50-74K","Homeowner","Married","2","2 Adults No Kids","0"
714,233,"55-64","15-24K",NA,NA,"3","2 Adults Kids","1"
715,153,"55-64","15-24K","Homeowner","Married","2","2 Adults No Kids","0"
718,284,"45-54","25-34K","Homeowner","Married","5+","2 Adults Kids","3+"
722,152,"35-44","50-74K","Homeowner","Married","2","2 Adults No Kids","0"
725,187,"45-54","25-34K",NA,"Unmarried","1","1 Adult No Kids","0"
731,167,"45-54","35-49K","Homeowner",NA,"2","2 Adults No Kids","0"
732,277,"55-64","75-99K","Homeowner","Married","4","2 Adults Kids","2"
733,104,"45-54","75-99K","Homeowner","Married","2","2 Adults No Kids","0"
740,183,"45-54","175-199K","Homeowner","Married","2","1 Adult Kids","1"
742,236,"35-44","15-24K","Renter","Married","4","1 Adult Kids","2"
752,153,"35-44","75-99K","Renter","Married","2","1 Adult Kids","1"
755,243,"35-44","50-74K","Homeowner","Unmarried","1","1 Adult No Kids","0"
761,150,"25-34","125-149K","Homeowner","Married","5+","1 Adult Kids","3+"
762,284,"35-44","125-149K","Renter","Married","2","1 Adult Kids","1"
766,278,"45-54","150-174K","Homeowner","Married","2","2 Adults No Kids","0"
768,166,"35-44","50-74K","Renter","Married","2","1 Adult Kids","1"
771,245,"45-54","50-74K","Homeowner","Unmarried","1","1 Adult No Kids","0"
779,75,"65+","125-149K","Homeowner",NA,"3","2 Adults Kids","1"
784,153,"45-54","100-124K","Homeowner","Married","2","1 Adult Kids","1"
786,222,"19-24","75-99K","Homeowner",NA,"2","2 Adults No Kids","0"
787,153,"25-34","25-34K","Homeowner","Unmarried","1","1 Adult No Kids","0"
788,283,"25-34","Under 15K",NA,"Unmarried","2","1 Adult Kids","1"
797,213,"25-34","75-99K","Homeowner",NA,"2","2 Adults No Kids","0"
800,271,"25-34","35-49K","Homeowner","Married","2","2 Adults No Kids","0"
802,153,"65+","35-49K","Homeowner",NA,"2","2 Adults No Kids","0"
803,115,"25-34","75-99K",NA,NA,"2","2 Adults No Kids","0"
806,260,"35-44","75-99K","Homeowner","Married","2","2 Adults No Kids","0"
808,105,"45-54","75-99K","Homeowner",NA,"3","2 Adults Kids","1"
816,259,"25-34","50-74K",NA,"Unmarried","1","1 Adult No Kids","0"
817,224,"35-44","150-174K","Homeowner","Married","3","2 Adults Kids","1"
823,104,"35-44","50-74K","Homeowner","Married","3","2 Adults Kids","1"
825,213,"45-54","175-199K","Homeowner","Married","2","2 Adults No Kids","0"
840,166,"35-44","75-99K","Homeowner","Married","5+","2 Adults Kids","3+"
844,180,"45-54","200-249K","Homeowner","Married","2","2 Adults No Kids","0"
845,262,"19-24","50-74K","Homeowner","Unmarried","1","1 Adult No Kids","0"
853,160,"25-34","175-199K",NA,"Unmarried","1","1 Adult No Kids","0"
856,200,"55-64","35-49K","Homeowner","Unmarried","1","1 Adult No Kids","0"
857,185,"65+","35-49K","Homeowner","Married","3","1 Adult Kids","1"
859,146,"25-34","50-74K",NA,"Unmarried","1","1 Adult No Kids","0"
863,110,"45-54","15-24K",NA,"Unmarried","1","1 Adult No Kids","0"
864,214,"35-44","15-24K","Homeowner","Unmarried","1","1 Adult No Kids","0"
867,153,"45-54","75-99K","Homeowner","Unmarried","1","1 Adult No Kids","0"
868,187,"65+","35-49K","Homeowner","Married","2","2 Adults No Kids","0"
871,201,"35-44","200-249K","Homeowner","Married","3","2 Adults Kids","1"
878,257,"25-34","35-49K",NA,"Unmarried","3","1 Adult Kids","2"
882,153,"45-54","50-74K",NA,NA,"2","2 Adults No Kids","0"
883,221,"35-44","35-49K","Homeowner","Married","2","2 Adults No Kids","0"
886,137,"35-44","100-124K","Homeowner","Married","2","2 Adults No Kids","0"
888,318,"25-34","150-174K","Homeowner",NA,"3","2 Adults Kids","1"
889,275,"25-34","50-74K","Homeowner","Married","4","2 Adults Kids","2"
895,314,"45-54","150-174K",NA,"Unmarried","1","1 Adult No Kids","0"
898,193,"55-64","125-149K","Homeowner","Married","2","2 Adults No Kids","0"
900,221,"35-44","35-49K","Homeowner","Married","2","2 Adults No Kids","0"
903,144,"35-44","35-49K",NA,"Unmarried","1","1 Adult No Kids","0"
906,173,"55-64","Under 15K","Homeowner","Married","2","1 Adult Kids","1"
908,160,"45-54","100-124K","Probable Homeowner","Married","3","2 Adults Kids","1"
911,153,"25-34","125-149K","Homeowner","Married","2","2 Adults No Kids","0"
915,104,"45-54","15-24K",NA,"Unmarried","1","1 Adult No Kids","0"
920,165,"45-54","35-49K","Homeowner","Married","5+","2 Adults Kids","3+"
922,182,"45-54","35-49K",NA,"Unmarried","1","1 Adult No Kids","0"
926,287,"35-44","Under 15K","Homeowner",NA,"2","2 Adults No Kids","0"
929,170,"45-54","25-34K","Renter","Unmarried","2","1 Adult Kids","1"
932,276,"19-24","15-24K",NA,NA,"2","2 Adults No Kids","0"
934,230,"45-54","Under 15K",NA,"Unmarried","1","1 Adult No Kids","0"
939,104,"45-54","75-99K","Homeowner",NA,"2","2 Adults No Kids","0"
941,174,"19-24","200-249K",NA,"Married","2","2 Adults No Kids","0"
947,228,"65+","35-49K","Homeowner","Unmarried","1","1 Adult No Kids","0"
949,202,"25-34","50-74K","Homeowner",NA,"2","2 Adults No Kids","0"
955,185,"19-24","Under 15K",NA,"Unmarried","1","1 Adult No Kids","0"
956,160,"45-54","50-74K","Homeowner",NA,"2","2 Adults No Kids","0"
960,200,"35-44","125-149K","Homeowner","Married","5+","2 Adults Kids","3+"
968,247,"35-44","35-49K","Renter","Unmarried","2","1 Adult Kids","1"
971,116,"25-34","35-49K","Homeowner","Married","3","2 Adults Kids","1"
973,214,"35-44","50-74K","Homeowner","Married","4","2 Adults Kids","2"
976,112,"25-34","200-249K","Homeowner","Married","5+","2 Adults Kids","3+"
979,240,"35-44","35-49K","Homeowner","Unmarried","2","1 Adult Kids","1"
982,271,"45-54","35-49K",NA,NA,"4","2 Adults Kids","2"
983,205,"45-54","35-49K","Homeowner","Married","3","2 Adults Kids","1"
993,261,"55-64","50-74K","Homeowner","Married","5+","1 Adult Kids","3+"
996,158,"55-64","25-34K","Homeowner","Married","2","2 Adults No Kids","0"
997,312,"45-54","75-99K","Homeowner","Unmarried","1","1 Adult No Kids","0"
1001,115,"45-54","50-74K","Homeowner","Unmarried","1","1 Adult No Kids","0"
1004,174,"25-34","15-24K",NA,"Unmarried","1","1 Adult No Kids","0"
1012,144,"35-44","35-49K",NA,"Married","5+","2 Adults Kids","3+"
1014,187,"45-54","15-24K",NA,"Married","4","2 Adults Kids","2"
1015,219,"45-54","50-74K","Homeowner","Unmarried","1","1 Adult No Kids","0"
1018,200,"45-54","35-49K","Homeowner","Married","5+","2 Adults Kids","3+"
1020,187,"45-54","25-34K","Homeowner","Married","2","2 Adults No Kids","0"
1024,195,"25-34","Under 15K","Homeowner","Married","4","2 Adults Kids","2"
1031,104,"35-44","75-99K","Homeowner","Married","2","2 Adults No Kids","0"
1038,104,"55-64","Under 15K","Probable Renter","Unmarried","1","1 Adult No Kids","0"
1040,179,"25-34","100-124K",NA,"Unmarried","1","1 Adult No Kids","0"
1041,213,"25-34","35-49K",NA,"Unmarried","1","1 Adult No Kids","0"
1042,224,"25-34","75-99K","Homeowner",NA,"2","2 Adults No Kids","0"
1045,192,"25-34","Under 15K","Homeowner","Married","2","1 Adult Kids","1"
1053,174,"55-64","100-124K","Homeowner","Married","2","2 Adults No Kids","0"
1057,194,"35-44","50-74K",NA,"Unmarried","1","1 Adult No Kids","0"
1060,245,"35-44","35-49K","Renter","Unmarried","2","2 Adults No Kids","0"
1062,104,"65+","15-24K","Homeowner",NA,"2","2 Adults No Kids","0"
1066,186,"35-44","25-34K",NA,NA,"2","2 Adults No Kids","0"
1069,210,"25-34","35-49K",NA,NA,"2","2 Adults No Kids","0"
1070,252,"35-44","50-74K","Homeowner",NA,"2","2 Adults No Kids","0"
1074,187,"45-54","35-49K","Homeowner","Married","4","2 Adults Kids","2"
1081,235,"55-64","75-99K","Homeowner","Married","2","2 Adults No Kids","0"
1082,195,"45-54","35-49K",NA,"Unmarried","1","1 Adult No Kids","0"
1084,235,"25-34","35-49K",NA,NA,"3","2 Adults Kids","1"
1091,206,"45-54","75-99K","Homeowner","Married","2","2 Adults No Kids","0"
1094,255,"45-54","75-99K","Homeowner","Married","5+","2 Adults Kids","3+"
1103,195,"35-44","50-74K","Homeowner","Married","3","2 Adults Kids","1"
1113,195,"45-54","50-74K","Homeowner","Married","3","2 Adults Kids","1"
1123,153,"55-64","15-24K",NA,"Married","2","1 Adult Kids","1"
1128,276,"25-34","75-99K",NA,NA,"3","2 Adults Kids","1"
1130,242,"55-64","25-34K","Renter",NA,"3","2 Adults Kids","1"
1131,124,"45-54","50-74K","Homeowner","Unmarried","3","2 Adults Kids","1"
1137,180,"65+","35-49K","Homeowner","Unmarried","1","1 Adult No Kids","0"
1138,214,"35-44","15-24K",NA,NA,"2","2 Adults No Kids","0"
1142,230,"45-54","50-74K","Homeowner","Married","2","2 Adults No Kids","0"
1146,248,"35-44","35-49K","Homeowner","Unmarried","4","1 Adult Kids","3+"
1154,188,"45-54","35-49K","Homeowner","Married","2","2 Adults No Kids","0"
1158,193,"45-54","15-24K","Homeowner",NA,"2","2 Adults No Kids","0"
1159,163,"45-54","15-24K","Homeowner","Married","2","2 Adults No Kids","0"
1160,160,"65+","35-49K","Homeowner","Unmarried","1","1 Adult No Kids","0"
1163,234,"35-44","Under 15K",NA,"Unmarried","1","1 Adult No Kids","0"
1164,153,"25-34","15-24K",NA,"Unmarried","1","1 Adult No Kids","0"
1166,235,"45-54","125-149K","Homeowner","Married","3","2 Adults Kids","1"
1167,264,"35-44","50-74K","Homeowner",NA,"4","2 Adults Kids","2"
1169,164,"19-24","15-24K","Homeowner","Married","2","2 Adults No Kids","0"
1172,117,"25-34","50-74K",NA,"Unmarried","1","1 Adult No Kids","0"
1174,97,"25-34","Under 15K",NA,NA,"5+","2 Adults Kids","3+"
1175,167,"25-34","50-74K","Homeowner","Married","2","1 Adult Kids","1"
1178,247,"45-54","15-24K",NA,"Unmarried","1","1 Adult No Kids","0"
1179,166,"35-44","50-74K","Homeowner","Married","2","2 Adults No Kids","0"
1186,174,"45-54","50-74K","Homeowner","Married","5+","1 Adult Kids","3+"
1188,97,"45-54","35-49K","Renter","Unmarried","1","1 Adult No Kids","0"
1190,222,"25-34","35-49K","Homeowner",NA,"2","2 Adults No Kids","0"
1197,183,"35-44","150-174K","Homeowner","Married","2","2 Adults No Kids","0"
1219,105,"19-24","15-24K","Homeowner","Married","3","2 Adults Kids","1"
1222,234,"45-54","15-24K","Homeowner","Unmarried","1","1 Adult No Kids","0"
1226,195,"25-34","35-49K","Homeowner","Unmarried","3","1 Adult Kids","2"
1228,233,"45-54","100-124K",NA,"Unmarried","1","1 Adult No Kids","0"
1229,215,"55-64","150-174K","Homeowner","Married","2","2 Adults No Kids","0"
1234,251,"45-54","35-49K","Homeowner","Unmarried","2","2 Adults No Kids","0"
1236,161,"35-44","50-74K",NA,NA,"3","2 Adults Kids","1"
1240,206,"45-54","Under 15K","Homeowner",NA,"2","2 Adults No Kids","0"
1247,222,"35-44","35-49K","Homeowner","Married","2","2 Adults No Kids","0"
1248,229,"45-54","50-74K",NA,"Unmarried","2","1 Adult Kids","1"
1256,280,"45-54","50-74K",NA,"Unmarried","2","1 Adult Kids","1"
1258,173,"45-54","75-99K","Homeowner","Unmarried","1","1 Adult No Kids","0"
1260,104,"65+","50-74K","Homeowner","Unmarried","1","1 Adult No Kids","0"
1261,179,"45-54","25-34K","Homeowner","Married","2","1 Adult Kids","1"
1263,233,"25-34","15-24K",NA,"Unmarried","1","1 Adult No Kids","0"
1264,195,"45-54","15-24K",NA,"Unmarried","1","1 Adult No Kids","0"
